"file","line","klass","before","after","note"
"core/Commands.c","2465","is-array-test","g_vartbl[i].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[i], 0))","LIST/variable printer: only emit the ""(...)"" dimension list when the variable is a real array (excludes the -1 empty parameter)."
"core/Commands.c","2470","rank-scan","g_vartbl[i].dims[k] > 0","DimIsRealArray(RAW_DIM(g_vartbl[i], k))","Per-dimension presence test while printing a struct-typed array's bounds."
"core/Commands.c","2473","other","(int64_t)g_vartbl[i].dims[k]","(int64_t)DimUpper(RAW_DIM(g_vartbl[i], k))","Prints the declared upper bound as text; DimUpper is the meaning (a displayed bound), inert in Phase A."
"core/Commands.c","2476","rank-scan","g_vartbl[i].dims[k + 1] > 0","DimIsRealArray(RAW_DIM(g_vartbl[i], k + 1))","Look-ahead to the next dimension slot to decide whether to print a comma."
"core/Commands.c","2530","is-array-test","g_vartbl[i].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[i], 0))","Same printer for non-struct variables: is this a real array."
"core/Commands.c","2535","rank-scan","g_vartbl[i].dims[k] > 0","DimIsRealArray(RAW_DIM(g_vartbl[i], k))","Per-dimension presence test while printing bounds."
"core/Commands.c","2538","other","(int64_t)g_vartbl[i].dims[k]","(int64_t)DimUpper(RAW_DIM(g_vartbl[i], k))","Prints the declared upper bound as text."
"core/Commands.c","2541","rank-scan","g_vartbl[i].dims[k + 1] > 0","DimIsRealArray(RAW_DIM(g_vartbl[i], k + 1))","Look-ahead for the comma separator."
"core/Commands.c","2659","is-array-test","sm->dims[0] != 0","DimIsAllocated(RAW_DIM(*sm, 0))","LIST TYPE: struct member is an array, so build a dimension string."
"core/Commands.c","2662","rank-scan","sm->dims[d] != 0","!DimIsEnd(RAW_DIM(*sm, d))","Loop terminator over the member's dimension slots."
"core/Commands.c","2667","other","sm->dims[d]","DimUpper(RAW_DIM(*sm, d))","sprintf %d of the member's declared upper bound for display."
"core/Commands.c","5299","is-array-test","g_vartbl[j].dims[0] != 0","DimIsAllocated(RAW_DIM(g_vartbl[j], 0))","DO fast-var scan: skip any candidate that owns array storage (scalars only)."
"core/Commands.c","7680","scalar-test","!g_vartbl[g_VarIndex].dims[0]","DimIsScalar(RAW_DIM(g_vartbl[g_VarIndex], 0))","REDIM: error ""is not an array"" when the variable is not an array. Original was the ! form; DimIsScalar is (d)==0, identical truth value."
"core/Commands.c","7683","is-array-test","g_vartbl[g_VarIndex].dims[0] > 0","DimIsRealArray(RAW_DIM(g_vartbl[g_VarIndex], 0))","REDIM: only a real array (not the -1 empty parameter) has heap memory to capture and dimensions to compare."
"core/Commands.c","7689","verbatim-copy","g_vartbl[g_VarIndex].dims[i]","RAW_DIM(g_vartbl[g_VarIndex], i)","Copies stored slot values into the local dims[] for array_comp(); must stay raw. Local dims[] left untouched."
"core/Commands.c","7819","element-count","(g_vartbl[g_VarIndex].dims[k] - g_OptionBase + 1)","(DimUpper(RAW_DIM(g_vartbl[g_VarIndex], k)) - g_OptionBase + 1)","READ cardinality for an empty-array argument. Element count, but written '- g_OptionBase + 1', so operand order was preserved rather than folding into DimElements."
